casts,cover,directors,rate,title
"张国荣,张丰毅,巩俐,葛优,英达",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2561716440.jpg,陈凯歌,9.6,霸王别姬
"刘德华,肖央,万茜,程怡,黄小蕾",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2632862664.jpg,饶晓志,7.0,人潮汹涌
"郑希,杨凝,图特哈蒙,阎么么,季冠霖",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2621219978.jpg,"程腾,李炜,李夏,王昕",6.8,姜子牙
"陈坤,周迅,陈伟霆,屈楚萧,王丽坤",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2629260713.jpg,李蔚然,5.6,侍神令
"徐峥,王传君,周一围,谭卓,章宇",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2561305376.jpg,文牧野,9.0,我不是药神
"易烊千玺,刘浩存,朱媛媛,高亚麟,夏雨",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2618247457.jpg,韩延,7.4,送你一朵小红花
"陈立农,李现,哈妮克孜,裴魁山,姜超",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2627575957.jpg,"宋灏霖,伊力奇",5.0,赤狐书生
"维果·莫腾森,马赫沙拉·阿里,琳达·卡德里尼,塞巴斯蒂安·马尼斯科,迪米特·D·马里诺夫",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2549177902.jpg,彼得·法雷里,8.9,绿皮书
"吕艳婷,囧森瑟夫,瀚墨,陈浩,绿绮",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2563780504.jpg,饺子,8.4,哪吒之魔童降世
"王千源,张译,姜武,黄志忠,张俊一",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2615992304.jpg,管虎,7.6,八佰
"陈建斌,周迅,大鹏,窦靖童,春夏",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2637603645.jpg,陈建斌,7.5,第十一回
"章子怡,黄晓明,张震,王力宏,陈楚生",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2507572275.jpg,李芳芳,7.6,无问西东
"沈腾,宋芸桦,张一鸣,张晨光,常远",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2529206747.jpg,"闫非,彭大魔",6.6,西虹市首富
"周冬雨,易烊千玺,尹昉,周也,吴越",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2572166063.jpg,曾国祥,8.3,少年的你
"屈楚萧,吴京,李光洁,吴孟达,赵今麦",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2545472803.jpg,郭帆,7.9,流浪地球
"黄晓明,杜江,谭卓,杨紫,欧豪",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2563630521.jpg,陈国辉,6.5,烈火英雄
"姜文,葛优,周润发,刘嘉玲,陈坤",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1512562287.jpg,姜文,8.9,让子弹飞
"周星驰,吴孟达,朱茵,蔡少芬,蓝洁瑛",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2455050536.jpg,刘镇伟,9.2,大话西游之大圣娶亲
"刘德华,刘青云,倪妮,谢君豪,姜皓文",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2621379901.jpg,邱礼涛,7.6,拆弹专家2
"王宝强,刘昊然,肖央,刘承羽,尚语贤",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2512717519.jpg,陈思诚,6.6,唐人街探案2
"张译,黄景瑜,海清,杜江,蒋璐霞",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2514119443.jpg,林超贤,8.3,红海行动
"黄渤,张译,韩昊霖,杜江,葛优",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2567998580.jpg,"陈凯歌,张一白,管虎,薛晓路,徐峥,宁浩,文牧野",7.7,我和我的祖国
"吴京,弗兰克·格里罗,吴刚,张翰,卢靖姗",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2494701965.jpg,吴京,7.1,战狼2
"沈腾,马丽,尹正,艾伦,王智",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2264377763.jpg,"闫非,彭大魔",7.7,夏洛特烦恼
"王吉祥,大鹏,刘陆",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2632185061.jpg,大鹏,7.9,吉祥如意
"沈腾,黄景瑜,尹正,张本煜,尹昉",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2542973862.jpg,韩寒,6.9,飞驰人生
"葛优,黄渤,范伟,邓超,沈腾",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2620453443.jpg,"宁浩,徐峥,陈思诚,闫非,彭大魔,邓超,俞白眉",7.3,我和我的家乡
"周星驰,吴孟达,张敏,徐锦江,钟丽缇",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p648370300.jpg,王晶,8.6,九品芝麻官
"王宝强,刘昊然,佟丽娅,陈赫,肖央",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2302930556.jpg,陈思诚,7.7,唐人街探案
"周星驰,吴孟达,罗家英,蓝洁瑛,莫文蔚",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2561721372.jpg,刘镇伟,9.0,大话西游之月光宝盒
"张涵予,欧豪,杜江,袁泉,张天爱",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2568258113.jpg,刘伟强,6.7,中国机长
"王宝强,刘昊然,妻夫木聪,托尼·贾,长泽雅美",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2622388983.jpg,陈思诚,5.6,唐人街探案3
"周星驰,元秋,元华,黄圣依,梁小龙",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2219011938.jpg,周星驰,8.7,功夫
"汤姆·哈迪,米歇尔·威廉姆斯,里兹·阿迈德,斯科特·黑兹,里德·斯科特",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2537158013.jpg,鲁本·弗雷斯彻,7.2,毒液：致命守护者
"黄渤,舒淇,王宝强,张艺兴,于和伟",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2529571873.jpg,黄渤,7.1,一出好戏
"杨幂,柯震东,郭采洁,郭碧婷,谢依霖",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2004121607.jpg,郭敬明,4.8,小时代
"梁朝伟,白百何,井柏然,李宇春,杨祐宁",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2509643816.jpg,许诚毅,5.0,捉妖记2
"邓超,罗志祥,张雨绮,林允,徐克",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2316177058.jpg,周星驰,6.7,美人鱼
"雷佳音,佟丽娅,张衣,于和伟,王正佳",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2520331478.jpg,苏伦,6.8,超时空同居
"陈建斌,任素汐,潘斌龙,章宇,王砚辉",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2539661066.jpg,饶晓志,8.1,无名之辈
"周润发,郭富城,张静初,冯文娟,廖启智",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2535260806.jpg,庄文强,8.1,无双
"凯尔·钱德勒,维拉·法米加,米莉·波比·布朗,章子怡,渡边谦",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2554370800.jpg,迈克尔·道赫蒂,6.3,哥斯拉2：怪兽之王
"艾伦,马丽,沈腾,田雨,宋阳",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2499793218.jpg,"宋阳,张吃鱼",6.8,羞羞的铁拳
"季冠霖,苏尚卿,许魏洲,金士杰,杨婷",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2361744534.jpg,"梁旋,张春",6.9,大鱼海棠
