name,type,area,direction,fitment,elevator,total_price,unit_price,property
近园区 地铁口 全明西边户 配套成熟 适合刚需,59.2平米,南,简装,中楼层(共6层),板楼,153,单价25845元/平米,共有
满二年，开发商装修，全新未住人，品质物业，环境优美,123.44平米,南,精装,低楼层(共41层),板塔结合,232,单价18795元/平米,共有
盘门景区 独栋别墅 庙湾街88号！画锦坊边上 护城河内,259.7平米,南,精装,低楼层(共3层),板塔结合,2000,单价77012元/平米,非共有
虹桥小区，户型正气 诚心出售，看房方便,60.47平米,南 北,简装,高楼层(共6层),板楼,136,单价22491元/平米,非共有
全明户型 好楼层 南北双阳台 精装修 拎包入住,66.04平米,南,精装,中楼层(共6层),板楼,162,单价24531元/平米,非共有
央企品质，万科物业，业主诚意出售，看房有钥匙,89.53平米,南 北,精装,26层,板楼,265,单价29600元/平米,非共有
南苑新村3楼采光好，交通便利，房子保养好，拎包入住,105.45平米,南,简装,中楼层(共5层),暂无数据,152.8,单价14491元/平米,共有
九龙仓碧堤雅苑 通透户型 中上楼层 满两年,116.87平米,南,精装,高楼层(共19层),板楼,335,单价28665元/平米,共有
此房满二，格局方正，采光无忧，两房朝南，客厅朝南,118.34平米,南,精装,6层,板塔结合,184,单价15549元/平米,非共有
新上房源，楼层好视野佳，红蚂蚁硬装，满五 唯 一,105.09平米,南,精装,27层,板塔结合,531.5,单价50576元/平米,共有
新区永旺旁，精装多层洋房，带17平独立车库，看房随时,115.41平米,南,精装,中楼层(共5层),板楼,259,单价22442元/平米,共有
新上月亮湾四房  出门就是公交站 地铁口  苏苑和迎春,105平米,南,简装,低楼层(共6层),板塔结合,248,单价23620元/平米,非共有
地铁正荣华府大三房边户通透户型，全新精装中上楼层,113平米,南,精装,高楼层(共33层),板塔结合,250,单价22124元/平米,非共有
精装修三房双卫楼层好 视野开阔 看房有钥匙 诚心出售,122.48平米,南,精装,低楼层(共11层),板楼,330,单价26944元/平米,共有
精装小三房，家电齐全，洋房带电梯，满2年税费低,85.77平米,南,简装,高楼层(共6层),板楼,319,单价37193元/平米,共有
浒墅人家一区，中间楼层70平小户，二手买进诚心出售,70.52平米,南,简装,中楼层(共17层),板楼,126,单价17868元/平米,共有
美之国 满五年唯一 2016年自住精装修 带车位 诚心出售,89.83平米,南,精装,6层,塔楼,249.8,单价27809元/平米,共有
金枫美地 纵价低 精装修 可做四F或者空间花园,139平米,南 北,精装,高楼层(共6层),板塔结合,230,单价16547元/平米,非共有
满五唯一，采光充足，精装小户，拎包入住，,52平米,南,精装,低楼层(共25层),板塔结合,107,单价20577元/平米,非共有
潇邦西区小三房诚意出售，利用率高此户型,88.17平米,南,精装,低楼层(共19层),板楼,540,单价61246元/平米,共有
